query_key,category,scenario,endpoint,symbol_type,indicator_id,req_unique_id,attrs_json,time_range_json,template,periods,metric_name,english_name,description,aliases,is_interval_metric,period_values_json,exchange,access_guide
8|最高价|Daily High,security,metric_lookup,snapshot,market_code,8,8,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,最高价,Daily High,"#### 1、定义：
最高价是指在一定交易时间内，股票或其他金融资产的最高成交价格。它反映了该时间段内市场对该资产的最高价值认可。

#### 2、别名：
- 日内最高价
- 日高

#### 3、特征：
- 反映市场情绪：最高价可以反映市场在一定时间内对某个金融资产的最高价值认可，从而体现市场对该资产的情绪和预期。
- 波动性：最高价可能会受到市场波动、交易量、市场新闻等因素的影响，具有一定的不稳定性。
- 技术分析工具：最高价常被用作技术分析中的一个重要指标，帮助投资者判断市场趋势和寻找交易机会。

####  4、在投资过程中发挥的作用：
- 判断市场趋势：最高价可以帮助投资者了解市场在一定时间内的价格波动和趋势。
- 寻找交易机会：投资者可以通过分析最高价来判断是否存在买入或卖出的机会。
- 风险管理：通过观察最高价的变化，投资者可以评估持仓的风险水平，从而制定相应的风险管理策略。

#### 5、使用该指标需要注意的事项：
- 单一指标局限性：最高价仅为市场在一定时间内的价格表现，不能全面反映资产的价值和潜在风险。
- 市场波动性：最高价可能受到短期市场波动的影响，投资者应结合其他技术指标和基本面分析来做出更全面的判断。
- 交易量影响：最高价可能在交易量较低的情况下出现，这种情况下的价格可能不具备代表性。
- 时间跨度选择：投资者应根据投资策略和目标选择合适的时间跨度来观察最高价，如日K、周K或月K等。

#### 6、特殊注意事项：
<font color =""red"">最高价在K线周期存在除权复权的问题，在获取K线的最高价时，需要根据实际需求，来取对应的最高价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
8|最高价|Daily High,security,metric_lookup,snapshot,market_code,8,8,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,最高价,Daily High,"#### 1、定义：
最高价是指在一定交易时间内，股票或其他金融资产的最高成交价格。它反映了该时间段内市场对该资产的最高价值认可。

#### 2、别名：
- 日内最高价
- 日高

#### 3、特征：
- 反映市场情绪：最高价可以反映市场在一定时间内对某个金融资产的最高价值认可，从而体现市场对该资产的情绪和预期。
- 波动性：最高价可能会受到市场波动、交易量、市场新闻等因素的影响，具有一定的不稳定性。
- 技术分析工具：最高价常被用作技术分析中的一个重要指标，帮助投资者判断市场趋势和寻找交易机会。

####  4、在投资过程中发挥的作用：
- 判断市场趋势：最高价可以帮助投资者了解市场在一定时间内的价格波动和趋势。
- 寻找交易机会：投资者可以通过分析最高价来判断是否存在买入或卖出的机会。
- 风险管理：通过观察最高价的变化，投资者可以评估持仓的风险水平，从而制定相应的风险管理策略。

#### 5、使用该指标需要注意的事项：
- 单一指标局限性：最高价仅为市场在一定时间内的价格表现，不能全面反映资产的价值和潜在风险。
- 市场波动性：最高价可能受到短期市场波动的影响，投资者应结合其他技术指标和基本面分析来做出更全面的判断。
- 交易量影响：最高价可能在交易量较低的情况下出现，这种情况下的价格可能不具备代表性。
- 时间跨度选择：投资者应根据投资策略和目标选择合适的时间跨度来观察最高价，如日K、周K或月K等。

#### 6、特殊注意事项：
<font color =""red"">最高价在K线周期存在除权复权的问题，在获取K线的最高价时，需要根据实际需求，来取对应的最高价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
8|最高价|Daily High,security,metric_lookup,snapshot,market_code,8,8,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,最高价,Daily High,"#### 1、定义：
最高价是指在一定交易时间内，股票或其他金融资产的最高成交价格。它反映了该时间段内市场对该资产的最高价值认可。

#### 2、别名：
- 日内最高价
- 日高

#### 3、特征：
- 反映市场情绪：最高价可以反映市场在一定时间内对某个金融资产的最高价值认可，从而体现市场对该资产的情绪和预期。
- 波动性：最高价可能会受到市场波动、交易量、市场新闻等因素的影响，具有一定的不稳定性。
- 技术分析工具：最高价常被用作技术分析中的一个重要指标，帮助投资者判断市场趋势和寻找交易机会。

####  4、在投资过程中发挥的作用：
- 判断市场趋势：最高价可以帮助投资者了解市场在一定时间内的价格波动和趋势。
- 寻找交易机会：投资者可以通过分析最高价来判断是否存在买入或卖出的机会。
- 风险管理：通过观察最高价的变化，投资者可以评估持仓的风险水平，从而制定相应的风险管理策略。

#### 5、使用该指标需要注意的事项：
- 单一指标局限性：最高价仅为市场在一定时间内的价格表现，不能全面反映资产的价值和潜在风险。
- 市场波动性：最高价可能受到短期市场波动的影响，投资者应结合其他技术指标和基本面分析来做出更全面的判断。
- 交易量影响：最高价可能在交易量较低的情况下出现，这种情况下的价格可能不具备代表性。
- 时间跨度选择：投资者应根据投资策略和目标选择合适的时间跨度来观察最高价，如日K、周K或月K等。

#### 6、特殊注意事项：
<font color =""red"">最高价在K线周期存在除权复权的问题，在获取K线的最高价时，需要根据实际需求，来取对应的最高价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
8|最高价|Daily High,security,metric_lookup,snapshot,market_code,8,8,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,最高价,Daily High,"#### 1、定义：
最高价是指在一定交易时间内，股票或其他金融资产的最高成交价格。它反映了该时间段内市场对该资产的最高价值认可。

#### 2、别名：
- 日内最高价
- 日高

#### 3、特征：
- 反映市场情绪：最高价可以反映市场在一定时间内对某个金融资产的最高价值认可，从而体现市场对该资产的情绪和预期。
- 波动性：最高价可能会受到市场波动、交易量、市场新闻等因素的影响，具有一定的不稳定性。
- 技术分析工具：最高价常被用作技术分析中的一个重要指标，帮助投资者判断市场趋势和寻找交易机会。

####  4、在投资过程中发挥的作用：
- 判断市场趋势：最高价可以帮助投资者了解市场在一定时间内的价格波动和趋势。
- 寻找交易机会：投资者可以通过分析最高价来判断是否存在买入或卖出的机会。
- 风险管理：通过观察最高价的变化，投资者可以评估持仓的风险水平，从而制定相应的风险管理策略。

#### 5、使用该指标需要注意的事项：
- 单一指标局限性：最高价仅为市场在一定时间内的价格表现，不能全面反映资产的价值和潜在风险。
- 市场波动性：最高价可能受到短期市场波动的影响，投资者应结合其他技术指标和基本面分析来做出更全面的判断。
- 交易量影响：最高价可能在交易量较低的情况下出现，这种情况下的价格可能不具备代表性。
- 时间跨度选择：投资者应根据投资策略和目标选择合适的时间跨度来观察最高价，如日K、周K或月K等。

#### 6、特殊注意事项：
<font color =""red"">最高价在K线周期存在除权复权的问题，在获取K线的最高价时，需要根据实际需求，来取对应的最高价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
9|最低价|Daily Low,security,metric_lookup,snapshot,market_code,9,9,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,最低价,Daily Low,"#### 1、定义：
最低价是指在一定交易日内，某种金融资产（如股票、期货等）的最低成交价格。这个价格反映了该金融资产在该交易日内的最低价值，是投资者判断市场情绪和资产价值的重要参考。


#### 2、别名：
- 日内最低价
- 日K最低价
- 日最低成交价

#### 3、特征：
- 反映市场情绪：最低价可以反映出投资者在交易日内对某种金融资产的最低接受价格，从而反映出市场对该资产的情绪。
- 波动性：最低价可能会受到市场波动的影响，如市场新闻、政策变化等。
- 交易策略参考：投资者可能会根据最低价来制定交易策略，如在最低价附近买入或卖出。

#### 4、出自A股港股美股会计准则的位置：
金融指标最低价并不直接出自任何会计准则，而是金融市场交易数据的一部分。会计准则主要关注的是公司的财务状况和经营成果，而最低价是市场交易的结果。

#### 5、计算公式：
金融指标最低价的计算公式相对简单，主要是在一定交易日内找到该金融资产的最低成交价格。公式如下：
最低价 = min(成交价格1, 成交价格2, ..., 成交价格n)
- 成交价格1, 成交价格2, ..., 成交价格n：在一定交易日内，该金融资产的所有成交价格。

#### 6、在投资过程中发挥的作用：
- 判断市场情绪：最低价可以帮助投资者判断市场对该金融资产的情绪，从而做出投资决策。
- 制定交易策略：投资者可以根据最低价来制定买入或卖出的交易策略。
- 风险管理：最低价可以帮助投资者评估投资风险，如在最低价附近设置止损点。||

#### 7、使用该指标需要注意的事项：
- 市场波动：最低价可能会受到市场波动的影响，投资者需要关注可能影响价格波动的因素。
- 交易量：最低价可能在交易量较小的情况下出现，这种情况下的价格可能不够稳定，投资者需要谨慎对待。
- 短期行为：最低价更多地反映了短期市场行为，投资者在使用该指标时需要结合其他长期指标进行综合分析。||

#### 6、特殊注意事项：
<font color =""red"">最低价在K线周期存在除权复权的问题，在获取K线周期的最低价时，需要根据实际需求，来取对应的最低价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
9|最低价|Daily Low,security,metric_lookup,snapshot,market_code,9,9,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,最低价,Daily Low,"#### 1、定义：
最低价是指在一定交易日内，某种金融资产（如股票、期货等）的最低成交价格。这个价格反映了该金融资产在该交易日内的最低价值，是投资者判断市场情绪和资产价值的重要参考。


#### 2、别名：
- 日内最低价
- 日K最低价
- 日最低成交价

#### 3、特征：
- 反映市场情绪：最低价可以反映出投资者在交易日内对某种金融资产的最低接受价格，从而反映出市场对该资产的情绪。
- 波动性：最低价可能会受到市场波动的影响，如市场新闻、政策变化等。
- 交易策略参考：投资者可能会根据最低价来制定交易策略，如在最低价附近买入或卖出。

#### 4、出自A股港股美股会计准则的位置：
金融指标最低价并不直接出自任何会计准则，而是金融市场交易数据的一部分。会计准则主要关注的是公司的财务状况和经营成果，而最低价是市场交易的结果。

#### 5、计算公式：
金融指标最低价的计算公式相对简单，主要是在一定交易日内找到该金融资产的最低成交价格。公式如下：
最低价 = min(成交价格1, 成交价格2, ..., 成交价格n)
- 成交价格1, 成交价格2, ..., 成交价格n：在一定交易日内，该金融资产的所有成交价格。

#### 6、在投资过程中发挥的作用：
- 判断市场情绪：最低价可以帮助投资者判断市场对该金融资产的情绪，从而做出投资决策。
- 制定交易策略：投资者可以根据最低价来制定买入或卖出的交易策略。
- 风险管理：最低价可以帮助投资者评估投资风险，如在最低价附近设置止损点。||

#### 7、使用该指标需要注意的事项：
- 市场波动：最低价可能会受到市场波动的影响，投资者需要关注可能影响价格波动的因素。
- 交易量：最低价可能在交易量较小的情况下出现，这种情况下的价格可能不够稳定，投资者需要谨慎对待。
- 短期行为：最低价更多地反映了短期市场行为，投资者在使用该指标时需要结合其他长期指标进行综合分析。||

#### 6、特殊注意事项：
<font color =""red"">最低价在K线周期存在除权复权的问题，在获取K线周期的最低价时，需要根据实际需求，来取对应的最低价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
9|最低价|Daily Low,security,metric_lookup,snapshot,market_code,9,9,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,最低价,Daily Low,"#### 1、定义：
最低价是指在一定交易日内，某种金融资产（如股票、期货等）的最低成交价格。这个价格反映了该金融资产在该交易日内的最低价值，是投资者判断市场情绪和资产价值的重要参考。


#### 2、别名：
- 日内最低价
- 日K最低价
- 日最低成交价

#### 3、特征：
- 反映市场情绪：最低价可以反映出投资者在交易日内对某种金融资产的最低接受价格，从而反映出市场对该资产的情绪。
- 波动性：最低价可能会受到市场波动的影响，如市场新闻、政策变化等。
- 交易策略参考：投资者可能会根据最低价来制定交易策略，如在最低价附近买入或卖出。

#### 4、出自A股港股美股会计准则的位置：
金融指标最低价并不直接出自任何会计准则，而是金融市场交易数据的一部分。会计准则主要关注的是公司的财务状况和经营成果，而最低价是市场交易的结果。

#### 5、计算公式：
金融指标最低价的计算公式相对简单，主要是在一定交易日内找到该金融资产的最低成交价格。公式如下：
最低价 = min(成交价格1, 成交价格2, ..., 成交价格n)
- 成交价格1, 成交价格2, ..., 成交价格n：在一定交易日内，该金融资产的所有成交价格。

#### 6、在投资过程中发挥的作用：
- 判断市场情绪：最低价可以帮助投资者判断市场对该金融资产的情绪，从而做出投资决策。
- 制定交易策略：投资者可以根据最低价来制定买入或卖出的交易策略。
- 风险管理：最低价可以帮助投资者评估投资风险，如在最低价附近设置止损点。||

#### 7、使用该指标需要注意的事项：
- 市场波动：最低价可能会受到市场波动的影响，投资者需要关注可能影响价格波动的因素。
- 交易量：最低价可能在交易量较小的情况下出现，这种情况下的价格可能不够稳定，投资者需要谨慎对待。
- 短期行为：最低价更多地反映了短期市场行为，投资者在使用该指标时需要结合其他长期指标进行综合分析。||

#### 6、特殊注意事项：
<font color =""red"">最低价在K线周期存在除权复权的问题，在获取K线周期的最低价时，需要根据实际需求，来取对应的最低价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
9|最低价|Daily Low,security,metric_lookup,snapshot,market_code,9,9,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,最低价,Daily Low,"#### 1、定义：
最低价是指在一定交易日内，某种金融资产（如股票、期货等）的最低成交价格。这个价格反映了该金融资产在该交易日内的最低价值，是投资者判断市场情绪和资产价值的重要参考。


#### 2、别名：
- 日内最低价
- 日K最低价
- 日最低成交价

#### 3、特征：
- 反映市场情绪：最低价可以反映出投资者在交易日内对某种金融资产的最低接受价格，从而反映出市场对该资产的情绪。
- 波动性：最低价可能会受到市场波动的影响，如市场新闻、政策变化等。
- 交易策略参考：投资者可能会根据最低价来制定交易策略，如在最低价附近买入或卖出。

#### 4、出自A股港股美股会计准则的位置：
金融指标最低价并不直接出自任何会计准则，而是金融市场交易数据的一部分。会计准则主要关注的是公司的财务状况和经营成果，而最低价是市场交易的结果。

#### 5、计算公式：
金融指标最低价的计算公式相对简单，主要是在一定交易日内找到该金融资产的最低成交价格。公式如下：
最低价 = min(成交价格1, 成交价格2, ..., 成交价格n)
- 成交价格1, 成交价格2, ..., 成交价格n：在一定交易日内，该金融资产的所有成交价格。

#### 6、在投资过程中发挥的作用：
- 判断市场情绪：最低价可以帮助投资者判断市场对该金融资产的情绪，从而做出投资决策。
- 制定交易策略：投资者可以根据最低价来制定买入或卖出的交易策略。
- 风险管理：最低价可以帮助投资者评估投资风险，如在最低价附近设置止损点。||

#### 7、使用该指标需要注意的事项：
- 市场波动：最低价可能会受到市场波动的影响，投资者需要关注可能影响价格波动的因素。
- 交易量：最低价可能在交易量较小的情况下出现，这种情况下的价格可能不够稳定，投资者需要谨慎对待。
- 短期行为：最低价更多地反映了短期市场行为，投资者在使用该指标时需要结合其他长期指标进行综合分析。||

#### 6、特殊注意事项：
<font color =""red"">最低价在K线周期存在除权复权的问题，在获取K线周期的最低价时，需要根据实际需求，来取对应的最低价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
9|最低价|Daily Low,security,metric_lookup,snapshot,market_code,9,9,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,最低价,Daily Low,"#### 1、定义：
最低价是指在一定交易日内，某种金融资产（如股票、期货等）的最低成交价格。这个价格反映了该金融资产在该交易日内的最低价值，是投资者判断市场情绪和资产价值的重要参考。


#### 2、别名：
- 日内最低价
- 日K最低价
- 日最低成交价

#### 3、特征：
- 反映市场情绪：最低价可以反映出投资者在交易日内对某种金融资产的最低接受价格，从而反映出市场对该资产的情绪。
- 波动性：最低价可能会受到市场波动的影响，如市场新闻、政策变化等。
- 交易策略参考：投资者可能会根据最低价来制定交易策略，如在最低价附近买入或卖出。

#### 4、出自A股港股美股会计准则的位置：
金融指标最低价并不直接出自任何会计准则，而是金融市场交易数据的一部分。会计准则主要关注的是公司的财务状况和经营成果，而最低价是市场交易的结果。

#### 5、计算公式：
金融指标最低价的计算公式相对简单，主要是在一定交易日内找到该金融资产的最低成交价格。公式如下：
最低价 = min(成交价格1, 成交价格2, ..., 成交价格n)
- 成交价格1, 成交价格2, ..., 成交价格n：在一定交易日内，该金融资产的所有成交价格。

#### 6、在投资过程中发挥的作用：
- 判断市场情绪：最低价可以帮助投资者判断市场对该金融资产的情绪，从而做出投资决策。
- 制定交易策略：投资者可以根据最低价来制定买入或卖出的交易策略。
- 风险管理：最低价可以帮助投资者评估投资风险，如在最低价附近设置止损点。||

#### 7、使用该指标需要注意的事项：
- 市场波动：最低价可能会受到市场波动的影响，投资者需要关注可能影响价格波动的因素。
- 交易量：最低价可能在交易量较小的情况下出现，这种情况下的价格可能不够稳定，投资者需要谨慎对待。
- 短期行为：最低价更多地反映了短期市场行为，投资者在使用该指标时需要结合其他长期指标进行综合分析。||

#### 6、特殊注意事项：
<font color =""red"">最低价在K线周期存在除权复权的问题，在获取K线周期的最低价时，需要根据实际需求，来取对应的最低价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
7|开盘价|Open Price,security,metric_lookup,snapshot,market_code,7,7,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,开盘价,Open Price,"#### 1、定义：
开盘价是指股票在交易日的开盘时刻，通过集合竞价形成的第一笔成交价格。它是股票交易日的起始价格，对投资者的交易决策具有重要的参考价值。

#### 2、别名：
- 开盘价
- 开市价

#### 3、特征：
- 开盘价是交易日的第一笔成交价格，具有起始性和指导性。
- 开盘价的形成是通过集合竞价机制，反映了市场在开盘前的供需关系。
- 开盘价与前一交易日的收盘价相比，可以反映出市场情绪的变化，对投资者的交易决策具有指导意义。
- 开盘价的波动性较大，容易受到市场消息、投资者情绪等因素的影响。

#### 4、在投资过程中发挥的作用：
  - 开盘价可以作为投资者判断市场情绪和趋势的参考，帮助投资者做出交易决策。
  - 开盘价的变动可以反映出市场对某只股票的关注度和预期，对投资者的买卖决策具有指导意义。
  - 开盘价与前一交易日的收盘价相比，可以形成跳空缺口，对技术分析具有重要意义。跳空缺口可能预示着市场趋势的转变，对投资者的交易策略产生影响。

#### 5、使用该指标需要注意的事项：
  - 开盘价容易受到市场消息、投资者情绪等因素的影响，投资者在使用开盘价作为交易参考时，应结合其他技术指标和市场信息进行综合分析。
  - 开盘价的波动性较大，投资者应保持谨慎，避免盲目跟风。
  - 开盘价仅是交易日的起始价格，投资者在进行交易决策时，还需关注股票的全天交易情况，以及市场的整体走势。
  - 开盘价的形成受到集合竞价机制的影响，投资者应了解集合竞价的规则和原理，以便更好地利用开盘价进行投资决策。

#### 6、特殊注意事项：
<font color =""red"">开盘价在开线周期存在除权复权的问题，在获取K线的开盘价时，需要根据实际需求，来取对应的开盘价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
7|开盘价|Open Price,security,metric_lookup,snapshot,market_code,7,7,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,开盘价,Open Price,"#### 1、定义：
开盘价是指股票在交易日的开盘时刻，通过集合竞价形成的第一笔成交价格。它是股票交易日的起始价格，对投资者的交易决策具有重要的参考价值。

#### 2、别名：
- 开盘价
- 开市价

#### 3、特征：
- 开盘价是交易日的第一笔成交价格，具有起始性和指导性。
- 开盘价的形成是通过集合竞价机制，反映了市场在开盘前的供需关系。
- 开盘价与前一交易日的收盘价相比，可以反映出市场情绪的变化，对投资者的交易决策具有指导意义。
- 开盘价的波动性较大，容易受到市场消息、投资者情绪等因素的影响。

#### 4、在投资过程中发挥的作用：
  - 开盘价可以作为投资者判断市场情绪和趋势的参考，帮助投资者做出交易决策。
  - 开盘价的变动可以反映出市场对某只股票的关注度和预期，对投资者的买卖决策具有指导意义。
  - 开盘价与前一交易日的收盘价相比，可以形成跳空缺口，对技术分析具有重要意义。跳空缺口可能预示着市场趋势的转变，对投资者的交易策略产生影响。

#### 5、使用该指标需要注意的事项：
  - 开盘价容易受到市场消息、投资者情绪等因素的影响，投资者在使用开盘价作为交易参考时，应结合其他技术指标和市场信息进行综合分析。
  - 开盘价的波动性较大，投资者应保持谨慎，避免盲目跟风。
  - 开盘价仅是交易日的起始价格，投资者在进行交易决策时，还需关注股票的全天交易情况，以及市场的整体走势。
  - 开盘价的形成受到集合竞价机制的影响，投资者应了解集合竞价的规则和原理，以便更好地利用开盘价进行投资决策。

#### 6、特殊注意事项：
<font color =""red"">开盘价在开线周期存在除权复权的问题，在获取K线的开盘价时，需要根据实际需求，来取对应的开盘价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
7|开盘价|Open Price,security,metric_lookup,snapshot,market_code,7,7,"{""trade_class"":{""children"":null,""default"":""intraday"",""enum_options"":[{""label"":""盘前"",""value"":""pre_market""},{""label"":""盘中"",""value"":""intraday""},{""label"":""盘后"",""value"":""post_market""}],""example"":""intraday"",""name"":""trade_class"",""query_type"":""enum"",""required"":""1"",""source"":""legacy""}}",{},stock-detail.json,snapshot,开盘价,Open Price,"#### 1、定义：
开盘价是指股票在交易日的开盘时刻，通过集合竞价形成的第一笔成交价格。它是股票交易日的起始价格，对投资者的交易决策具有重要的参考价值。

#### 2、别名：
- 开盘价
- 开市价

#### 3、特征：
- 开盘价是交易日的第一笔成交价格，具有起始性和指导性。
- 开盘价的形成是通过集合竞价机制，反映了市场在开盘前的供需关系。
- 开盘价与前一交易日的收盘价相比，可以反映出市场情绪的变化，对投资者的交易决策具有指导意义。
- 开盘价的波动性较大，容易受到市场消息、投资者情绪等因素的影响。

#### 4、在投资过程中发挥的作用：
  - 开盘价可以作为投资者判断市场情绪和趋势的参考，帮助投资者做出交易决策。
  - 开盘价的变动可以反映出市场对某只股票的关注度和预期，对投资者的买卖决策具有指导意义。
  - 开盘价与前一交易日的收盘价相比，可以形成跳空缺口，对技术分析具有重要意义。跳空缺口可能预示着市场趋势的转变，对投资者的交易策略产生影响。

#### 5、使用该指标需要注意的事项：
  - 开盘价容易受到市场消息、投资者情绪等因素的影响，投资者在使用开盘价作为交易参考时，应结合其他技术指标和市场信息进行综合分析。
  - 开盘价的波动性较大，投资者应保持谨慎，避免盲目跟风。
  - 开盘价仅是交易日的起始价格，投资者在进行交易决策时，还需关注股票的全天交易情况，以及市场的整体走势。
  - 开盘价的形成受到集合竞价机制的影响，投资者应了解集合竞价的规则和原理，以便更好地利用开盘价进行投资决策。

#### 6、特殊注意事项：
<font color =""red"">开盘价在开线周期存在除权复权的问题，在获取K线的开盘价时，需要根据实际需求，来取对应的开盘价（除权、前复权、后复权）。
具体除复权取数参数请参考取数协议</font>",,false,[],"UUS,89,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F,UAOS",STANDARD_SNAPSHOT
